"",Title,Year,Rated,Genre
107,La La Land,2016,PG-13,"Comedy, Drama, Music"
108,Logan,2017,R,"Action, Drama, Sci-Fi"
109,Blade Runner,1982,R,"Sci-Fi, Thriller"
110,"Lock, Stock and Two Smoking Barrels",1998,R,"Comedy, Crime"
111,Casino,1995,R,"Crime, Drama"
112,A Beautiful Mind,2001,PG-13,"Biography, Drama"
113,The Elephant Man,1980,PG,"Biography, Drama"
114,Warrior,2011,PG-13,"Action, Drama, Sport"
115,V for Vendetta,2005,R,"Action, Drama, Thriller"
116,The Wolf of Wall Street,2013,R,"Biography, Comedy, Crime"
117,Dial M for Murder,1954,PG,"Crime, Film-Noir, Thriller"
118,Hacksaw Ridge,2016,R,"Biography, Drama, History"
119,Gone with the Wind,1939,G,"Drama, History, Romance"
120,The Message,1976,PG,"Adventure, Biography, Drama"
121,Rebecca,1940,APPROVED,"Drama, Mystery, Romance"
122,Trainspotting,1996,R,Drama
123,The Deer Hunter,1978,R,"Drama, War"
124,Cool Hand Luke,1967,PG,"Crime, Drama"
125,Gran Torino,2008,R,Drama
126,The Big Lebowski,1998,R,"Comedy, Crime"
127,The Thing,1982,R,"Horror, Mystery, Sci-Fi"
128,It Happened One Night,1934,UNRATED,"Comedy, Romance"
129,Fargo,1996,R,"Crime, Drama, Thriller"
130,The Sixth Sense,1999,PG-13,"Drama, Mystery, Thriller"
131,Finding Nemo,2003,G,"Animation, Adventure, Comedy"
132,Mary and Max,2009,NOT RATED,"Animation, Comedy, Drama"
133,No Country for Old Men,2007,R,"Crime, Drama, Thriller"
134,How to Train Your Dragon,2010,PG,"Animation, Action, Adventure"
135,There Will Be Blood,2007,R,"Drama, History"
136,Into the Wild,2007,R,"Adventure, Biography, Drama"
137,Kill Bill: Vol. 1,2003,R,"Action, Crime, Thriller"
138,Gone Girl,2014,R,"Crime, Drama, Mystery"
139,Life of Brian,1979,R,Comedy
140,Network,1976,R,Drama
141,Shutter Island,2010,R,"Mystery, Thriller"
142,In the Name of the Father,1993,R,"Biography, Drama"
143,Rush,2013,R,"Action, Biography, Drama"
144,Hotel Rwanda,2004,PG-13,"Biography, Drama, History"
145,Platoon,1986,R,"Drama, War"
146,Song of the Sea,2014,PG,"Animation, Adventure, Family"
147,Ben-Hur,1959,G,"Adventure, Drama, History"
148,Stand by Me,1986,R,"Adventure, Drama"
149,Hachi: A Dog's Tale,2009,G,"Drama, Family"
150,Kind Hearts and Coronets,1949,APPROVED,"Comedy, Crime"
151,The Maltese Falcon,1941,APPROVED,"Film-Noir, Mystery"
152,Butch Cassidy and the Sundance Kid,1969,PG,"Biography, Crime, Drama"
153,The Legend of 1900,1998,R,"Drama, Music, Romance"
